Work ID,State,Work Type,Work Category,Recommended Amount (INR),Sanction Date,Completion Date,ratio_disbursed_to_recommended,has_underspend,n_payments,n_vendors,max_payment_share,span_days,ratio_disbursed_to_recommended.1,n_payments_zscore_by_worktype,n_payments_zscore_by_state,n_vendors_zscore_by_worktype,n_vendors_zscore_by_state,max_payment_share_zscore_by_worktype,max_payment_share_zscore_by_state,span_days_zscore_by_worktype,span_days_zscore_by_state,ratio_disbursed_to_recommended_zscore_by_worktype,ratio_disbursed_to_recommended_zscore_by_state,peer_stat_score,iforest_score_primary,is_top1pct_iforest
WS/MP620/2024-2025/133166,Karnataka,Construction of buildings for community cultural activities,Normal/Others,497185.0,2024-07-09,2024-10-14,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP620/2024-2025/133303,Karnataka,Construction of buildings for community cultural activities,Normal/Others,399104.0,2024-07-25,2025-02-14,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP620/2024-2025/133312,Karnataka,Construction of buildings for community cultural activities,Normal/Others,498091.0,2024-07-25,2025-06-09,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP345/2024-2025/134140,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,293492.0,2024-07-29,2024-08-12,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133686,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133687,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133688,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133689,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133690,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133691,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133693,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133694,Punjab,Construction of rooms and halls in school and colleges,Normal/Others,300000.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133696,Punjab,Installing community drinking water plants,Normal/Others,84500.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133701,Punjab,Installing community drinking water plants,Normal/Others,84500.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18152/2024-2025/133703,Punjab,Installing community drinking water plants,Normal/Others,84500.0,2024-08-02,2025-04-07,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP498/2024-2025/133447,West Bengal,Construction of culverts and bridges,Normal/Others,1602957.0,2024-08-07,2026-07-27,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP345/2024-2025/134143,Kerala,Construction of buildings for community cultural activities,Normal/Others,1182588.0,2024-08-13,2024-10-28,1.0,False,2,2,0.9437242725277104,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP345/2024-2025/134144,Kerala,Construction of buildings for community cultural activities,Normal/Others,338444.0,2024-08-13,2024-08-17,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18278/2024-2025/134668,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1500000.0,2024-08-16,2024-12-06,1.0,False,2,1,0.6,101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18278/2024-2025/134672,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,991511.0,2024-08-16,2024-10-17,1.0,False,2,1,0.5965753279590443,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP620/2024-2025/133307,Karnataka,Construction of buildings for community cultural activities,Normal/Others,398955.0,2024-08-17,2025-07-29,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP620/2024-2025/133308,Karnataka,Construction of buildings for community cultural activities,Normal/Others,399304.0,2024-08-17,2025-05-31,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP345/2024-2025/134123,Kerala,Construction of rooms and halls in school and colleges,Normal/Others,4740188.0,2024-08-19,2024-12-06,1.0,False,2,1,0.6282761358832182,107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP620/2024-2025/133301,Karnataka,Construction of buildings for community cultural activities,Normal/Others,398009.0,2024-08-22,2025-02-03,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP620/2024-2025/133310,Karnataka,Construction of buildings for community cultural activities,Normal/Others,247583.0,2024-08-22,2025-05-31,1.0,False,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/134703,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-01-31,0.999986,False,1,1,1.0,0,0.999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135593,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,450000.0,2024-08-23,2024-12-05,0.99716,True,1,1,1.0,0,0.99716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135595,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,450000.0,2024-08-23,2024-12-05,0.9977111111111112,True,1,1,1.0,0,0.9977111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135645,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,400000.0,2024-08-23,2024-10-25,0.9945925,True,1,1,1.0,0,0.9945925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135646,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,100000.0,2024-08-23,2024-10-25,0.99809,True,1,1,1.0,0,0.99809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135647,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2024-10-25,0.995532,True,1,1,1.0,0,0.995532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135648,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-01-07,0.99914,False,2,1,0.8856916948575775,47,0.99914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18006/2024-2025/135649,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-03-27,0.981258,True,1,1,1.0,0,0.981258,-0.6546536707079776,0.0,0.0,0.0,0.5785831605856262,0.0,-0.5958736191020043,0.0,-9.034479505838892,0.0,9.034479505838892,0.4187997994717684,False
WS/MP18006/2024-2025/135650,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-01-07,0.999562,False,2,1,0.8851576990721937,47,0.999562,1.632993161855452,0.0,0.0,0.0,-0.2046124281578315,0.0,0.9083288143692988,0.0,0.5549689093379159,0.0,1.632993161855452,0.3796342827142793,False
WS/MP18006/2024-2025/135651,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-01-07,0.999564,False,2,1,0.8855500998435318,47,0.999564,1.414213562373095,0.0,0.0,0.0,-0.1928956003122036,0.0,0.8412202337350724,0.0,0.5250491633835911,0.0,1.414213562373095,0.37066889468870395,False
WS/MP18006/2024-2025/135652,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-01-07,0.99873,True,2,1,0.8859151121924844,47,0.99873,1.2649110640673515,1.5275252316519474,0.0,0.0,-0.1824868720524822,-1.5189736734928947,0.7870798718143133,1.5275252316519463,0.3286505970982321,0.4680135371309953,1.5275252316519474,0.41316013454411743,False
WS/MP18006/2024-2025/135654,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,500000.0,2024-08-23,2025-01-07,0.998864,True,2,1,0.8873280046132407,47,0.998864,1.154700538379252,1.3228756555322951,0.0,0.0,-0.1653023733072856,-1.2910875568913092,0.742205726654179,1.3228756555322954,0.3438064167017192,0.4682194290598956,1.3228756555322954,0.4025921887521605,False
WS/MP18278/2024-2025/134638,Chhattisgarh,Construction of common work sheds/ common covered sitting area,Normal/Others,300000.0,2024-08-23,2025-02-12,1.0,False,2,1,0.5,177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
WS/MP18278/2024-2025/134644,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1000000.0,2024-08-23,2025-02-12,1.0,False,2,1,0.5,6,1.0,1.0690449676496971,0.0,0.0,0.0,-3.090284369655673,0.0,-0.6492067403444299,0.0,0.5784340948456025,0.0,3.090284369655673,0.413717330262275,False
WS/MP18278/2024-2025/134646,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,999550.0,2024-08-23,2024-11-25,1.0,False,3,1,0.499774898704417,75,1.0,3.0,0.0,0.0,0.0,-2.369218317542962,0.0,1.7015673662408457,0.0,0.5543007260262014,0.0,3.0,0.44841849612078727,False
WS/MP672/2024-2025/136731,Maharashtra,Lighting of public spaces,Normal/Others,999600.0,2024-08-23,2024-08-23,0.9638995598239296,True,1,1,1.0,0,0.9638995598239296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32401621927373225,False
